,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,engine_capacity(cc),Power_bhp,Seats,Price,Brand_name,Model_name
1237,Kochi,2018,35070,Diesel,Manual,First,24.0,1120,70.0,5.0,5.99,Hyundai,Grand
1238,Pune,2011,42000,Petrol,Automatic,Third,14.4,1598,103.6,5.0,3.4,Volkswagen,Vento
1239,Kolkata,2009,40000,Petrol,Manual,First,20.36,1197,78.9,5.0,1.7,Hyundai,i10
1240,Kolkata,2009,43000,Petrol,Manual,First,17.0,1197,80.0,5.0,1.99,Hyundai,i20
1241,Pune,2012,65000,Petrol,Manual,First,18.6,1199,79.4,5.0,2.5,Chevrolet,Beat
1242,Hyderabad,2013,74000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.85,Volkswagen,Polo
1243,Hyderabad,2010,51192,Petrol,Manual,First,15.6,1196,70.0,5.0,2.65,Ford,Figo
1244,Kochi,2014,14262,Petrol,Automatic,First,9.9,1984,207.8,2.0,27.35,Audi,TT
1245,Jaipur,2015,66339,Diesel,Manual,Second,25.1,1498,98.6,5.0,6.9,Honda,City
1246,Hyderabad,2013,90200,Diesel,Manual,First,20.0,1399,68.05,5.0,3.5,Ford,Figo
1247,Delhi,2015,57854,Diesel,Manual,First,12.99,2494,100.6,7.0,12.5,Toyota,Innova
1248,Delhi,2017,32000,Petrol,Automatic,First,19.12,1373,91.1,5.0,9.2,Maruti,Ciaz
1249,Mumbai,2015,29631,Petrol,Automatic,First,18.9,1197,82.0,5.0,4.9,Hyundai,Grand
1250,Kochi,2014,54173,Petrol,Manual,First,18.88,999,123.24,5.0,5.55,Ford,EcoSport
1251,Ahmedabad,2014,50000,Petrol,Automatic,First,14.7,1798,177.6,5.0,13.5,Skoda,Octavia
1252,Kolkata,2010,145000,Diesel,Manual,First,20.4,1248,91.7,5.0,2.6,Fiat,Linea
1253,Jaipur,2015,78000,Petrol,Manual,First,16.1,1298,88.2,5.0,4.5,Maruti,Swift
1254,Delhi,2013,65000,Diesel,Automatic,Second,11.8,2993,180.0,7.0,34.0,Land,Rover
1255,Hyderabad,2012,120000,Diesel,Manual,First,12.8,2494,102.0,7.0,12.0,Toyota,Innova
1256,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.25,Maruti,Swift
1257,Kochi,2014,57456,Diesel,Automatic,First,17.68,1968,174.33,5.0,21.56,Audi,A6
1258,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995,190.0,5.0,24.68,BMW,5
1259,Delhi,2013,63777,Petrol,Manual,First,18.5,1197,82.9,5.0,3.67,Hyundai,i20
1260,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995,190.0,5.0,29.5,BMW,X1
1261,Delhi,2012,60000,Petrol,Manual,First,17.6,1496,88.73,5.0,3.1,Toyota,Etios
1262,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405,70.0,5.0,2.9,Tata,Indigo
1263,Mumbai,2009,27078,Petrol,Automatic,First,10.98,1984,114.4,4.0,15.95,Volkswagen,Beetle
1264,Hyderabad,2011,57275,Diesel,Manual,First,19.7,1598,103.6,5.0,4.5,Volkswagen,Polo
1265,Delhi,2014,45000,Diesel,Manual,First,24.0,1120,70.0,5.0,3.49,Hyundai,Grand
1266,Delhi,2014,57319,Diesel,Manual,First,25.2,1248,74.0,5.0,4.25,Maruti,Swift
1267,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396,88.76,5.0,1.9,Hyundai,Verna
1268,Mumbai,2011,89000,Diesel,Automatic,First,16.73,1995,218.0,5.0,16.57,BMW,5
1269,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497,118.0,5.0,5.75,Honda,City
1270,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968,147.51,5.0,14.0,Audi,A4
1271,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248,75.0,5.0,2.5,Fiat,Linea
1272,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343,90.0,5.0,1.2,Honda,City
1273,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995,190.0,5.0,13.95,BMW,3
1274,Chennai,2007,100000,Petrol,Manual,First,16.6,1388,68.0,5.0,1.6,Ford,Fiesta
1275,Coimbatore,2016,5240,Petrol,Automatic,First,21.9,624,37.48,4.0,3.6,Tata,Nano
1276,Mumbai,2018,20000,CNG,Manual,First,20.385,1196,73.0,5.0,4.5,Maruti,Eeco
1277,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197,81.8,5.0,6.06,Maruti,Ignis
1278,Coimbatore,2013,59254,Petrol,Manual,Second,17.5,1298,85.8,5.0,5.29,Maruti,Swift
1279,Jaipur,2014,60000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.75,Ford,Ecosport
1280,Coimbatore,2014,47674,Petrol,Manual,First,19.1,1197,85.8,5.0,5.72,Maruti,Swift
1281,Kochi,2014,61517,Petrol,Automatic,First,16.95,1197,78.9,5.0,4.39,Hyundai,i10
1282,Coimbatore,2016,62946,Diesel,Manual,First,15.1,2179,140.0,7.0,11.05,Mahindra,XUV500
1283,Delhi,2015,66823,Diesel,Manual,Second,22.54,1396,88.73,5.0,4.83,Hyundai,i20
1284,Pune,2013,79494,CNG,Manual,First,45.279,998,67.04,5.0,2.96,Maruti,Wagon
1285,Chennai,2012,107000,Diesel,Manual,Second,21.27,1396,88.76,5.0,4.5,Hyundai,i20
1286,Mumbai,2011,55000,Diesel,Automatic,Second,16.46,2993,258.0,5.0,19.5,BMW,7
1287,Mumbai,2017,24000,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.75,Skoda,Rapid
1288,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967,245.0,7.0,67.0,Audi,Q7
1289,Kochi,2016,54317,Petrol,Manual,First,17.4,1497,117.3,5.0,8.4,Honda,City
1290,Mumbai,2016,10200,Petrol,Manual,First,19.1,1197,82.0,5.0,4.99,Hyundai,Xcent
1291,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498,98.6,5.0,8.18,Honda,City
1292,Pune,2012,79000,Petrol,Manual,First,18.4,1198,86.8,5.0,2.9,Honda,Brio
1293,Jaipur,2015,40500,Diesel,Manual,First,28.09,1248,88.5,5.0,7.1,Maruti,Ciaz
1294,Pune,2016,23000,Diesel,Manual,First,26.59,1248,74.0,5.0,7.05,Maruti,Swift
1295,Pune,2015,63050,Petrol,Automatic,First,11.1,2354,158.8,5.0,17.5,Honda,CR-V
1296,Mumbai,2008,78000,Petrol,Automatic,Second,14.53,1794,138.1,5.0,3.41,Toyota,Corolla
1297,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497,118.0,5.0,5.68,Honda,City
1298,Bangalore,2007,74112,Diesel,Manual,First,12.05,2179,120.0,9.0,4.1,Mahindra,Scorpio
1299,Delhi,2011,87670,Petrol,Manual,First,13.4,1798,157.8,5.0,4.0,Skoda,Laura
1300,Hyderabad,2015,10000,Diesel,Automatic,First,18.88,1995,184.0,5.0,30.0,BMW,3
1301,Chennai,2007,62493,Petrol,Manual,First,15.0,1586,104.68,5.0,1.8,Maruti,SX4
1302,Kochi,2015,44620,Petrol,Manual,First,20.73,1373,91.1,5.0,6.93,Maruti,Ciaz
1303,Bangalore,2012,66538,Diesel,Automatic,First,10.2,4367,308.0,7.0,70.0,Land,Rover
1304,Ahmedabad,2013,60000,Diesel,Manual,First,12.99,2494,100.0,7.0,7.9,Toyota,Innova
1305,Chennai,2014,110000,Diesel,Automatic,First,13.01,2199,194.3,7.0,14.4,Hyundai,Santa
1306,Mumbai,2011,45000,Petrol,Automatic,Second,11.74,1796,186.0,5.0,13.5,Mercedes-Benz,New
1307,Mumbai,2014,40000,CNG,Manual,Second,35.910000000000004,998,58.16,5.0,3.15,Maruti,Wagon
1308,Coimbatore,2012,49008,Petrol,Manual,First,19.7,796,46.3,5.0,2.88,Maruti,Alto
1309,Kolkata,2016,31000,Petrol,Manual,First,24.7,796,47.3,5.0,2.15,Maruti,Alto
1310,Pune,2013,8000,Petrol,Manual,First,16.95,1498,97.7,5.0,3.75,Nissan,Sunny
1311,Mumbai,2019,171,Petrol,Manual,First,24.7,796,47.3,5.0,3.6,Maruti,Alto
1312,Kolkata,2018,2100,Petrol,Manual,First,24.07,998,67.1,5.0,3.6,Maruti,Alto
1313,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197,81.86,5.0,7.55,Hyundai,Grand
1314,Kolkata,2015,50000,Diesel,Manual,First,24.2,1498,98.6,7.0,4.7,Honda,Mobilio
1315,Jaipur,2010,100030,Diesel,Manual,Second,18.8,1248,90.0,5.0,1.6,Tata,Manza
1316,Pune,2011,75372,Diesel,Manual,First,16.52,1991,123.7,5.0,3.34,Chevrolet,Optra
1317,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497,117.3,5.0,9.1,Honda,City
1318,Kochi,2019,18453,Petrol,Manual,First,18.9,1197,81.86,5.0,6.17,Hyundai,Grand
1319,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582,126.2,5.0,2.5,Hyundai,Verna
1320,Kolkata,2016,31001,Petrol,Manual,First,18.44,1198,75.0,5.0,3.0,Nissan,Micra
1321,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582,126.32,5.0,5.75,Hyundai,Verna
1322,Bangalore,2017,26246,Petrol,Manual,First,15.29,1591,121.3,5.0,10.75,Hyundai,Creta
1323,Jaipur,2013,62700,Petrol,Manual,Second,20.51,998,67.04,5.0,2.85,Maruti,Wagon
1324,Chennai,2008,90000,Petrol,Automatic,First,10.2,2354,180.0,5.0,6.5,Honda,Accord
1325,Bangalore,2016,36000,Petrol,Automatic,First,16.8,1497,118.0,5.0,9.45,Honda,City
1326,Delhi,2016,46000,Diesel,Manual,First,27.39,1248,74.0,5.0,6.75,Maruti,Baleno
1327,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498,98.6,5.0,7.75,Honda,City
1328,Kochi,2014,46566,Diesel,Manual,First,22.54,1396,88.76,5.0,4.4,Hyundai,i20
1329,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987,265.0,5.0,42.0,Mercedes-Benz,E-Class
1330,Kochi,2014,103788,Diesel,Manual,First,19.01,1461,108.5,5.0,5.67,Nissan,Terrano
1331,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5.0,11.5,Renault,Duster
1332,Pune,2009,120000,Petrol,Manual,First,18.9,998,67.1,5.0,1.69,Maruti,Wagon
1333,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493,110.0,5.0,1.8,Hyundai,Getz
1334,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197,85.8,5.0,3.2,Maruti,Ritz
1335,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995,187.74,5.0,45.86,BMW,5
1336,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198,74.0,5.0,5.1,Volkswagen,Polo
1337,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196,70.0,5.0,2.4,Ford,Figo
1338,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995,184.0,5.0,22.0,BMW,3
1339,Delhi,2012,70707,Diesel,Manual,First,22.32,1582,126.32,5.0,4.28,Hyundai,Verna
1340,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461,83.8,5.0,5.67,Renault,Duster
1341,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5.0,6.2,Hyundai,Grand
1342,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995,184.0,5.0,14.49,BMW,X1
1343,Pune,2010,71000,Diesel,Manual,First,21.1,1248,73.9,5.0,3.0,Maruti,Ritz
1344,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.25,Hyundai,i10
1345,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993,258.0,7.0,43.78,BMW,X5
1346,Kochi,2019,5377,Petrol,Manual,First,16.8,1497,116.3,5.0,11.45,Honda,City
1347,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696,184.0,7.0,10.5,Mahindra,Ssangyong
1348,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498,89.84,5.0,7.48,Ford,Ecosport
1349,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796,46.3,5.0,3.1,Maruti,Alto
1350,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198,74.0,5.0,2.55,Volkswagen,Polo
1351,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,Volkswagen,Polo
1352,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199,73.9,5.0,2.59,Volkswagen,Polo
1353,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248,88.8,7.0,5.45,Maruti,Ertiga
1354,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498,98.59,5.0,6.0,Ford,EcoSport
1355,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7.0,15.49,Toyota,Innova
1356,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497,150.0,5.0,12.5,BMW,5
1357,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248,74.0,5.0,4.75,Maruti,Swift
1358,Mumbai,2017,22000,Petrol,Manual,First,18.88,999,123.24,5.0,7.85,Ford,Ecosport
1359,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493,110.0,5.0,6.0,Hyundai,Verna
1360,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5.0,4.0,Tata,Zest
1361,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5.0,28.75,Audi,A7
1362,Pune,2012,65000,Diesel,Manual,First,22.3,1248,74.0,5.0,2.5,Tata,Indica
1363,Delhi,2015,76128,Diesel,Manual,First,26.59,1248,74.0,5.0,5.5,Maruti,Swift
1364,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368,90.0,5.0,1.59,Fiat,Linea
1365,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197,81.83,5.0,6.22,Hyundai,i20
1366,Kolkata,2016,11583,Petrol,Manual,First,21.1,814,55.2,5.0,2.75,Hyundai,EON
1367,Pune,2017,50000,Diesel,Automatic,First,17.9,2143,136.0,5.0,25.0,Mercedes-Benz,GLA
1368,Delhi,2014,77000,Petrol,Manual,First,23.1,998,67.04,5.0,2.8,Maruti,Celerio
1369,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5.0,2.45,Chevrolet,Beat
1370,Pune,2016,21000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.35,Honda,Jazz
1371,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995,181.0,5.0,8.0,BMW,3
1372,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461,108.45,5.0,8.25,Renault,Duster
1373,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499,110.4,5.0,5.95,Ford,Figo
1374,Kochi,2018,8899,Diesel,Manual,First,13.68,2393,147.8,7.0,19.92,Toyota,Innova
1375,Kochi,2016,83629,Diesel,Manual,First,25.44,936,56.3,5.0,3.15,Chevrolet,Beat
1376,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798,189.0,4.0,5.75,Volkswagen,Polo
1377,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7.0,32.44,Ford,Endeavour
1378,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5.0,8.01,Hyundai,Verna
1379,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196,86.8,5.0,6.48,Ford,Figo
1380,Jaipur,2007,59000,Petrol,Manual,First,16.1,796,37.0,4.0,0.75,Maruti,800
1381,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498,98.6,5.0,5.0,Honda,City
1382,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179,140.0,7.0,7.75,Mahindra,XUV500
1383,Chennai,2010,90000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,Ford,Figo
1384,Pune,2018,17000,Petrol,Manual,First,17.0,1497,121.36,5.0,9.2,Ford,EcoSport
1385,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197,81.83,5.0,5.05,Hyundai,i20
1386,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494,100.0,7.0,9.6,Toyota,Innova
1387,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.5,Renault,Duster
1388,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494,100.6,8.0,9.35,Toyota,Innova
1389,Delhi,2009,231673,Petrol,Manual,First,17.0,1497,118.0,5.0,2.6,Honda,City
1390,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998,67.1,5.0,3.5,Maruti,Alto
1391,Kochi,2016,49389,Petrol,Manual,First,19.49,1198,67.04,5.0,4.26,Nissan,Micra
1392,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998,67.04,5.0,4.25,Maruti,Celerio
1393,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796,178.0,5.0,11.75,Mercedes-Benz,New
1394,Chennai,2013,177000,Diesel,Manual,First,23.5,1498,88.7,5.0,3.5,Ford,Fiesta
1395,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591,121.3,5.0,7.5,Hyundai,Verna
1396,Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396,100.0,5.0,3.25,Hyundai,i20
1397,Chennai,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5.0,4.9,Maruti,Swift
1398,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143,170.0,5.0,27.0,Mercedes-Benz,New
1399,Kochi,2017,13460,Petrol,Manual,First,18.6,1197,81.86,5.0,8.91,Hyundai,Elite
1400,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5.0,6.69,Hyundai,Verna
1401,Kochi,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5.0,6.02,Chevrolet,Cruze
1402,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5.0,4.5,Toyota,Corolla
1403,Pune,2011,70000,Petrol,Manual,First,19.0,998,66.1,5.0,2.0,Maruti,A-Star
1404,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461,63.1,5.0,2.4,Nissan,Micra
1405,Pune,2013,4700,Petrol,Manual,First,25.4,624,37.48,4.0,1.2,Tata,Nano
1406,Delhi,2014,71800,Diesel,Manual,First,23.4,1248,74.0,5.0,2.9,Maruti,Swift
1407,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968,184.0,5.0,27.0,Audi,Q3
1408,Chennai,2016,15388,Diesel,Manual,First,25.8,1498,98.6,5.0,7.5,Honda,Amaze
1409,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599,104.0,5.0,1.5,Chevrolet,Optra
1410,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5.0,39.5,Audi,Q5
1411,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248,73.94,5.0,3.39,Maruti,Ritz
1412,Kochi,2018,37804,Diesel,Manual,First,15.4,2179,120.0,7.0,12.4,Mahindra,Scorpio
1413,Chennai,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5.0,6.85,Maruti,Ciaz
1414,Pune,2011,116000,Diesel,Manual,Second,21.43,1364,138.0,5.0,5.75,Toyota,Corolla
1415,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396,69.0,5.0,2.0,Tata,Indica
1416,Jaipur,2006,165000,Petrol,Manual,First,16.1,796,37.0,4.0,0.9,Maruti,800
1417,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198,74.0,5.0,3.8,Volkswagen,Polo
1418,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5.0,16.35,Hyundai,Elantra
1419,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982,169.0,7.0,16.5,Toyota,Fortuner
1420,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5.0,8.7,Maruti,Baleno
1421,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5.0,6.1,Maruti,Baleno
1422,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998,112.0,5.0,21.94,Mini,Cooper
1423,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987,210.0,5.0,22.0,Mercedes-Benz,S
1424,Delhi,2015,51000,Petrol,Manual,First,20.92,998,67.1,5.0,2.65,Maruti,Alto
1425,Kochi,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5.0,5.27,Maruti,Swift
1426,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248,74.0,5.0,2.48,Chevrolet,Sail
1427,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494,102.0,8.0,6.0,Toyota,Innova
1428,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982,171.0,7.0,8.9,Toyota,Fortuner
1429,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995,184.0,5.0,18.0,BMW,3
1430,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5.0,11.64,Skoda,Octavia
1431,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982,171.0,7.0,8.99,Toyota,Fortuner
1432,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896,105.0,5.0,5.25,Volkswagen,Jetta
1433,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396,90.0,5.0,2.95,Hyundai,i20
1434,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5.0,2.65,Tata,Manza
1435,Pune,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5.0,4.0,Volkswagen,Vento
1436,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5.0,12.5,Hyundai,Creta
1437,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197,85.8,5.0,3.25,Maruti,Ritz
1438,Delhi,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5.0,4.0,Honda,CR-V
1439,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179,140.0,7.0,6.25,Mahindra,XUV500
1440,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5.0,5.8,Volkswagen,Ameo
1441,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5.0,5.0,Tata,Zest
1442,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5.0,58.73,Jaguar,XJ
1443,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5.0,17.49,Toyota,Corolla
1444,Pune,2011,69000,Petrol,Manual,Second,19.0,998,66.1,5.0,1.95,Maruti,A-Star
1445,Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354,142.0,5.0,3.0,Honda,Accord
1446,Delhi,2014,42365,Petrol,Manual,First,17.0,1197,80.0,5.0,5.5,Hyundai,i20
1447,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7.0,16.5,Toyota,Fortuner
1448,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796,186.0,5.0,14.5,Mercedes-Benz,New
1449,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248,74.0,5.0,7.79,Maruti,Baleno
1450,Kochi,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7.0,8.27,Maruti,Ertiga
1451,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993,255.0,5.0,97.07,Land,Rover
1452,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5.0,2.15,Chevrolet,Optra
1453,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9,1799,130.0,5.0,3.0,Honda,Civic
1454,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995,184.0,5.0,28.79,BMW,X3
1455,Mumbai,2011,41988,Diesel,Automatic,First,20.0,1968,138.1,5.0,5.45,Skoda,Laura
1456,Delhi,2013,72486,Diesel,Manual,First,23.4,1248,74.0,5.0,3.95,Maruti,Swift
1457,Pune,2013,92000,Diesel,Automatic,First,23.3,1984,150.0,5.0,16.0,Volvo,V40
1458,Delhi,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5.0,4.25,Maruti,Swift
1459,Bangalore,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5.0,34.5,Land,Rover
1460,Mumbai,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5.0,2.6,Honda,Accord
1461,Kochi,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8.0,13.48,Toyota,Innova
1462,Hyderabad,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7.0,32.1,Toyota,Fortuner
1463,Kochi,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5.0,6.17,Honda,Jazz
1464,Kolkata,2015,32000,Petrol,Manual,First,17.0,1497,118.0,5.0,5.5,Honda,City
1465,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5.0,9.15,Maruti,Dzire
1466,Pune,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5.0,4.5,Nissan,Sunny
1467,Chennai,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8.0,10.5,Toyota,Innova
1468,Coimbatore,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5.0,5.37,Honda,Brio
1469,Bangalore,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5.0,5.45,Volkswagen,Vento
1470,Mumbai,2016,33000,Diesel,Manual,First,16.0,2179,140.0,7.0,9.25,Mahindra,XUV500
1471,Chennai,2016,29200,Diesel,Manual,First,23.0,1498,98.96,5.0,7.7,Ford,EcoSport
1472,Hyderabad,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5.0,7.99,Skoda,Yeti
1473,Chennai,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5.0,3.0,Hyundai,i10
1474,Hyderabad,2005,299322,Diesel,Manual,First,12.8,2494,102.0,8.0,4.0,Toyota,Innova
1475,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5.0,6.69,Tata,Zest
1476,Delhi,2014,56000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,Maruti,Swift
1477,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5.0,10.5,Skoda,Rapid
1478,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8.0,22.55,Toyota,Innova
1479,Pune,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5.0,5.2,Hyundai,Verna
1480,Coimbatore,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5.0,11.87,Honda,City
1481,Hyderabad,2014,65000,Diesel,Manual,First,26.0,1498,98.6,5.0,6.99,Honda,City
1482,Jaipur,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5.0,5.0,Volkswagen,Vento
1483,Chennai,2014,25000,Diesel,Automatic,First,12.19,2967,236.0,5.0,44.0,Audi,Q5
1484,Chennai,2015,21000,Petrol,Manual,First,22.74,796,47.3,5.0,2.79,Maruti,Alto
1485,Pune,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5.0,2.9,Tata,Manza
1486,Delhi,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5.0,9.85,Hyundai,Creta
1487,Bangalore,2014,52000,Diesel,Automatic,First,12.0,2987,224.0,7.0,49.0,Mercedes-Benz,GL-Class
1488,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498,105.0,6.0,9.25,Mahindra,Thar
1489,Mumbai,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5.0,3.75,Hyundai,Verna
1490,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498,99.0,5.0,7.29,Ford,Aspire
1491,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4.0,23.5,Mini,Cooper
1492,Hyderabad,2013,34834,Petrol,Manual,First,14.0,796,35.0,5.0,2.6,Maruti,Omni
